COVID-19,,,,,
date,Lexington,Middlesex,Massachusetts,Death_in_MA,Note
2/17/2020,0,0,1,0,
2/18/2020,0,0,1,0,
2/19/2020,0,0,1,0,
2/20/2020,0,0,1,0,
2/21/2020,0,0,1,0,
2/22/2020,0,0,1,0,
2/23/2020,0,0,1,0,
2/24/2020,0,0,1,0,
2/25/2020,0,0,1,0,
2/26/2020,0,0,1,0,
2/27/2020,0,0,1,0,
2/28/2020,0,0,1,0,
2/29/2020,0,0,1,0,
3/1/2020,0,0,1,0,
3/2/2020,0,0,2,0,
3/3/2020,0,0,2,0,
3/4/2020,0,0,2,0,
3/5/2020,0,1,3,0,
3/6/2020,0,1,8,0,
3/7/2020,0,5,13,0,
3/8/2020,0,10,28,0,
3/9/2020,0,15,41,0,
3/10/2020,1,41,92,0,
3/11/2020,2,41,95,0,
3/12/2020,4,49,108,0,
3/13/2020,4,60,123,0,school closed
3/14/2020,6,65,138,0,
3/15/2020,6,75,164,0,
3/16/2020,6,83,197,0,
3/17/2020,6,89,218,0,
3/18/2020,6,100,256,0,
3/19/2020,7,119,328,0,
3/20/2020,8,144,413,1,
3/21/2020,8,177,525,2,close none esential business
3/22/2020,8,199,646,5,enforce 6 feet social distance
3/23/2020,9,232,777,5,
3/24/2020,11,304,1159,11,
3/25/2020,14,446,1838,15,
3/26/2020,17,538,2417,25,
3/27/2020,19,685,3240,35,
3/28/2020,21,842,4257,44,
3/29/2020,25,981,4955,48,
3/30/2020,25,1141,5752,61,
3/31/2020,27,1340,6620,89,
4/1/2020,28,1582,7738,122,
4/2/2020,33,1870,8966,154,
4/3/2020,36,2202,10402,192,
4/4/2020,37,2468,11736,216,
4/5/2020,41,2632,12500,231,
4/6/2020,47,2950,13837,260,
4/7/2020,53,3187,15202,356,
4/8/2020,62,3545,16790,433,
4/9/2020,80,4045,18941,503,
4/10/2020,80,4447,20974,599,
4/11/2020,87,4872,22860,686,
4/12/2020,130,5660,25475,756,
4/13/2020,139,5983,26867,844,
4/14/2020,150,6254,28163,957,
4/15/2020,151,6681,29918,1108,
4/16/2020,160,7206,32181,1245,
4/17/2020,171,7744,34402,1404,
4/18/2020,174,8297,36372,1560,
4/19/2020,181,8737,38077,1706,
4/20/2020,200,9253,39643,1809,
4/21/2020,202,9621,41199,1961,
4/22/2020,206,10094,42944,2182,
4/23/2020,233,10724,46023,2360,
4/24/2020,240,11681,50969,2556,
4/25/2020,245,12253,53348,2730,
4/26/2020,245,12648,54938,2899,
4/27/2020,246,12953,56462,3003,
4/28/2020,250,13417,58302,3153,
4/29/2020,254,13799,60265,3405,
4/30/2020,256,14208,62205,3562,
5/1/2020,261,14607,64311,3716,
5/2/2020,267,15048,66263,3846,
5/3/2020,270,15370,68087,4004,
5/4/2020,272,15757,69087,4090,
5/5/2020,273,15980,70271,4212,
5/6/2020,275,16327,72025,4420,
5/7/2020,278,16676,73721,4552,
5/8/2020,280,17014,75333,4702,
5/9/2020,280,17307,76743,4840,
5/10/2020,280,17589,77793,4979,
5/11/2020,288,17774,78462,5108,
5/12/2020,289,17953,79332,5141,
5/13/2020,289,18201,80497,5315,
5/14/2020,292,18381,82182,5482,
5/15/2020,293,18683,83421,5592,
5/16/2020,293,18883,84933,5705,
5/17/2020,293,19129,86010,5797,
5/18/2020,297,19345,87052,5862,
5/19/2020,300,19504,87925,5938,
5/20/2020,302,19708,88970,6066,
5/21/2020,302,19930,90084,6148,
5/22/2020,306,20085,90889,6228,
5/23/2020,306,20232,91662,6304,
5/24/2020,306,20437,92675,6372,
5/25/2020,306,20539,93271,6416,
5/26/2020,309,20601,93693,6473,
5/27/2020,309,20706,94220,6547,
5/28/2020,310,20857,94895,6640,
5/29/2020,310,20972,95512,6718,
5/30/2020,310,21124,96301,6768,
5/31/2020,310,21287,96965,6846,
6/1/2020,313,22224,100805,7035,
6/2/2020,314,22296,101163,7085,
6/3/2020,315,22403,101592,7152,
6/4/2020,315,22485,102063,7201,
6/5/2020,315,22583,102557,7235,
6/6/2020,315,22686,103132,7289,
6/7/2020,315,22754,103436,7316,
6/8/2020,318,22812,103626,7353,
6/9/2020,318,22845,103889,7408,
6/10/2020,318,22889,104156,7454,
6/11/2020,318,22996,104667,7492,
6/12/2020,319,23075,105059,7538,
6/13/2020,319,23156,105395,7576,
6/14/2020,319,23195,105603,7624,
6/15/2020,321,23227,105690,7647,
6/16/2020,321,23262,105885,7665,
6/17/2020,322,23346,106151,7734,
6/18/2020,325,23407,106422,7770,
6/19/2020,325,23464,106650,7800.
6/20/2020,325,23544,106936,7828,
6/21/2020,325,23574,107061,7858,
6/22/2020,325,23609,107201,7874,
6/23/2020,322,23647,107439,7890,
6/24/2020,322,23697,107611,7938,
6/25/2020,322,23741,107837,7963,
6/26/2020,321,23786,108070,8013,
6/27/2020,321,23859,108443,8041,
6/28/2020,321,23915,108667,8060,
6/29/2020,321,23946,108768,8095,
6/30/2020,321,23962,108882,8054,
7/1/2020,329,23998,109143,8081,
7/2/2020,329,24039,109338,8132,
7/3/2020,329,24083,109628,8149,
7/4/2020,329,24115,109838,8172,
7/5/2020,329,24153,109974,8183,
7/6/2020,329,24193,110137,8198,
7/7/2020,,24243,110338,8213,
7/8/2020,328,24300,110602,8243,
7/9/2020,328,24348,110897,8268,
7/10/2020,328,24377,111110,8296,
7/11/2020,328,24436,111398,8310,
7/12/2020,328,24483,111597,8325,
7/13/2020,328,24536,111827,8330,
7/14/2020,328,24600,112130,8340,
7/15/2020,331,24652,112347,8368,
7/16/2020,331,24685,112581,8380,
7/17/2020,331,24738,112879,8402,
7/18/2020,331,24809,113238,8419,
7/19/2020,331,24886,113534,8431,
7/20/2020,331,24958,113789,8433,
7/21/2020,331,25011,114033,8450,
7/22/2020,332,25084,114320,8468,
7/23/2020,332,25123,114647,8484,
7/24/2020,332,25190,114985,8498,
7/25/2020,332,25250,115268,8510,
7/26/2020,332,25333,115637,8529,
7/27/2020,332,25396,115926,8536,
7/28/2020,332,25429,116182,8551,
7/29/2020,335,25535,116684,8580,
7/30/2020,335,25617,117098,8595,
7/31/2020,335,25706,117612,8609,
8/1/2020,335,25801,118040,8626,
8/2/2020,335,25894,118458,8638,
8/3/2020,335,25932,118657,8648,
8/4/2020,335,26027,119203,8657,
8/5/2020,339,26109,119643,8659.
8/6/2020,339,26156,119874,8691,
8/7/2020,339,26254,120291,8709,
8/8/2020,339,26345,120711,8721,
8/9/2020,339,26420,121040,8735,
8/10/2020,339,26470,121315,8741,
08/11/2020,339,26565,121707,8751,
08/12/2020,338,,113198,8547,
8/13/2020,338,,113517,8568,
8/14/2020,338,,113729,8582,
8/15/2020,338,,114095,8596,
8/16/2020,338,,114398,8607,
8/17/2020,338,,114611,8611,
8/18/2020,338,,114786,8617,
08/19/2020,340,24538,115048,8645,
08/26/2020,341,24938,117085,8755,
09/02/2020,343,25411,119426,8853,
09/09/2020,346,25847,121396,8937,
09/16/2020,352,26383,123720,9036,
09/23/2020,353,26943,126408,9347,
09/30/2020,358,27624,129753,9456,
10/07/2020,362,28533,133868,9557,
10/14/2020,369,29460,138083,9647,
10/22/2020,371,30509,142941,9810,
10/29/2020,380,31808,150498,9951,
11/06/2020,383,33455,158937,10106,
11/12/2020,398,36023,172471,10242,
11/19/2020,409,39667,189518,10435,
11/27/2020,428,43538,207284,10635,
12/03/2020,445,47677,225787,10874,
12/10/2020,487,54682,259324,11209,
12/17/2020,571,61641,292316,11558,
12/24/2020,636,68154,328307,11963,
12/31/2020,673,74299,352558,12423,
01/07/2021,737,82238,368052,12634,
01/14/2021,795,89999,433297,13156,
01/21/2021,857,94636,458089,13622,
01/28/2021,906,100273,484639,14056.
